name	id	category	site_type	status	principal_figure	figure_type	silsila	year_built	year_built_precision	year_built_note	figure_born	figure_died	event_year	event_note	events	flags
Data Darbar	data-darbar	Muslim Shrine	Complex	Active	Hazrat Ali ibn Usman al-Hujwiri (Data Ganj Bakhsh)	Sufi saint		1072	century	Grew from the saint's grave; major expansion 1980s	1009	1072			Annual urs (18-20 Safar); Thursday-evening qawwali and dhamal; daily langar	EVENTS_FIXED;DATE_SPLIT
Eidgah Sharif	eidgah-sharif	Muslim Shrine	Khanqah	Active	Hazrat Hafiz Muhammad Abdul Karim (Baba Ji)	Sufi saint	Chishti-Nizami	1900	century	Founder settled early 20th c.; sheet value 18th c. unsupported					Annual urs; Eid Milad-un-Nabi (principal gathering); langar	DATE_CORRECTED
Garh Maharaja (Shorkot)	garh-maharaja-shorkot	Muslim Shrine	Dargah/Mazar	Active	Sultan Bahoo	Sufi saint	Sarwari Qadiri	1691	circa	Tomb moved and rebuilt as the Chenab shifted	1630	1691			Annual urs (spring); abyat singing; qawwali; langar	DATE_SPLIT
Golra Sharif	golra-sharif	Muslim Shrine	Khanqah	Active	Pir Sayyid Meher Ali Shah	Sufi saint	Chishti	1937	exact		1859	1937			Annual urs; naat and qawwali; daily langar	DATE_SPLIT
Gorakhnath (Goraknath) Temple	gorakhnath-goraknath-temple	Hindu Temple	Temple	Occasional	Guru Gorakhnath	Deity		1851	circa	Reopened for worship 2011 by court order					Diwali (principal annual opening)	EVENTS_FILLED
Gori Temple (Gori jo Mandar)	gori-temple-gori-jo-mandar	Jain Temple	Temple	Heritage	Parshvanatha (23rd Tirthankara)	Deity		1375	exact	1375-1376 CE					Heritage site; occasional Jain/Hindu pilgrimage	CAT_CHANGED
Gurdas Ram Mandir	gurdas-ram-mandir	Nanakpanthi / Udasi Darbar	Temple	Active	Sant Gurdas Ram	Sant			unknown	Undocumented					Not documented	CAT_CHANGED
Gurdwara Babay De Ber	gurdwara-babay-de-ber	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1850	century	19th c., built by Natha Singh; reopened after renovation					Sikh pilgrimage; Guru Nanak Gurpurab	EVENTS_FILLED
Gurdwara Babay Nanki	gurdwara-babay-nanki	Sikh Gurdwara	Gurdwara	Occasional	Bebe Nanaki	Historical person			unknown	Commemorates Bebe Nanaki	1464	1518			Occasional pilgrimage; Bebe Nanaki commemoration	DATE_SPLIT
Gurdwara Balila Sahib (Bal Lila Sahib)	gurdwara-balila-sahib-bal-lila-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1748	exact	Built by Diwan Kaura Mal; renovated under Ranjit Singh					Guru Nanak Gurpurab (November)	EVENTS_FILLED
Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore	gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore	Sikh Gurdwara	Gurdwara	Occasional	Guru Arjan Dev	Sikh Guru		1834	exact	Baoli commissioned 1599; present building 1834			1599	Guru Arjan Dev's visit and the sinking of the baoli	Sikh anniversaries; martyrdom commemoration of Guru Arjan Dev	DATE_SPLIT
Gurdwara Bhai Beba Singh	gurdwara-bhai-beba-singh	Sikh Gurdwara	Gurdwara	Active	Bhai Biba (Beba) Singh	Historical person		1825	century	Sikh Empire era; reopened 2016					Daily prakash; major Sikh anniversaries	EVENTS_FILLED
Gurdwara Bhai Joga Singh	gurdwara-bhai-joga-singh	Sikh Gurdwara	Gurdwara	Active	Bhai Joga Singh	Historical person		1825	century	Founded by Hari Singh Nalwa; reopened 1980					Daily prakash; morning and evening worship	EVENTS_FILLED
Gurdwara Chakki Sahib	gurdwara-chakki-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru			unknown	Gurdwara built later than the commemorated event			1520	Guru Nanak's imprisonment during Babur's invasion	Sikh pilgrimage, especially Guru Nanak's Gurpurab	DATE_SPLIT
Gurdwara Chhevin Patshahi, Chitti Gatti	gurdwara-chhevin-patshahi-chitti-gatti	Sikh Gurdwara	Gurdwara	Heritage	Guru Hargobind	Sikh Guru			unknown	Commemorates Guru Hargobind (r. 1606-1644)					Historically a Vaisakhi fair; not currently observed	NOTE_STRIPPED
Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)	gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan	Sikh Gurdwara	Gurdwara	Heritage	Guru Hargobind	Sikh Guru		1875	century	Present structure colonial-era			1610	Visit of Guru Hargobind, early 17th c.	Historically an annual fair; not in regular worship	DATE_SPLIT
Gurdwara Chhevin Patshahi, Mozang	gurdwara-chhevin-patshahi-mozang	Sikh Gurdwara	Gurdwara	Heritage	Guru Hargobind	Sikh Guru		1926	exact	Original under Ranjit Singh; rebuilt 1926 by Sardar Mehar Singh			1619	Visit of Guru Hargobind	Annual Akhand Path around Guru Hargobind's Gurpurb (historic)	DATE_SPLIT
Gurdwara Choa Sahib	gurdwara-choa-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1834	exact	Commissioned by Maharaja Ranjit Singh; restored from 2020					Reopened for pilgrims; Guru Nanak anniversaries	
Gurdwara Chowmala Sahib	gurdwara-chowmala-sahib	Sikh Gurdwara	Gurdwara	Heritage	Guru Hargobind	Sikh Guru		1915	exact	Hall enlarged 1915; original structure may not survive			1620	Guru Hargobind's visit; Bhai Jiwan's house converted	Historically an annual fair at Basant Panchami; continuation uncertain	DATE_SPLIT
Gurdwara Darbar Sahib Kartarpur	gurdwara-darbar-sahib-kartarpur	Sikh Gurdwara	Complex	Active	Guru Nanak	Sikh Guru		1925	circa	Present building early 20th c.; greatly enlarged 2019	1469	1539	1539	Death of Guru Nanak at Kartarpur	Guru Nanak anniversaries; daily visa-free pilgrimage via the Kartarpur Corridor	DATE_SPLIT;EVENTS_FILLED
Gurdwara Dash Mesh Pita	gurdwara-dash-mesh-pita	Sikh Gurdwara	Gurdwara	Active	Guru Gobind Singh	Sikh Guru			unknown	Undocumented					Not documented	
Gurdwara Dera Sahib	gurdwara-dera-sahib	Sikh Gurdwara	Gurdwara	Active	Guru Arjan Dev	Sikh Guru		1825	century	Present form under Maharaja Ranjit Singh	1563	1606	1606	Martyrdom of Guru Arjan Dev	Martyrdom anniversary of Guru Arjan Dev (Jeth, May-June)	COORD_FIXED;DATE_SPLIT;EVENTS_FILLED
Gurdwara Guru Ram Das Ji	gurdwara-guru-ram-das-ji	Sikh Gurdwara	Gurdwara	Occasional	Guru Ram Das	Sikh Guru		1801	exact	Built under Maharaja Ranjit Singh	1534	1581			Guru Ram Das birth anniversary	DATE_SPLIT;EVENTS_FILLED
Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi)	gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak; Bhai Lalo	Sikh Guru			unknown	Gurdwara built later than the commemorated stay			1515	Guru Nanak's stay with Bhai Lalo	Sikh pilgrimage, especially Guru Nanak's Gurpurab	COORD_FIXED;DATE_SPLIT
Gurdwara Malji Sahib	gurdwara-malji-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1745	circa	Built by Diwan Kaura Mal; renovated under Ranjit Singh					Sikh pilgrimage, especially Guru Nanak's Gurpurab	
Gurdwara Panja Sahib	gurdwara-panja-sahib	Sikh Gurdwara	Complex	Active	Guru Nanak	Sikh Guru		1825	century	First gurdwara attributed to Hari Singh Nalwa			1521	Guru Nanak and Wali Kandhari; the panja imprint	Vaisakhi (principal jatha pilgrimage); Saka Panja Sahib commemoration	DATE_SPLIT;EVENTS_FILLED
Gurdwara Panjvi Chati Patshahi	gurdwara-panjvi-chati-patshahi	Sikh Gurdwara	Gurdwara	Occasional	Guru Arjan Dev; Guru Hargobind	Sikh Guru			unknown				1613	Guru Hargobind's visit returning from Kashmir	Occasional pilgrimage; historically a Gur Mela	DATE_SPLIT;EVENTS_FILLED
Gurdwara Patshahi Chhevin (Hadiara), Lahore	gurdwara-patshahi-chhevin-hadiara-lahore	Sikh Gurdwara	Gurdwara	Heritage	Guru Hargobind	Sikh Guru			unknown	Present structure later than the visit			1620	Visit of Guru Hargobind	Historically an annual Maghi fair	DATE_SPLIT
Gurdwara Patti Sahib	gurdwara-patti-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1935	circa	Present building 1930s-1940s					Guru Nanak Gurpurab	EVENTS_FILLED
Gurdwara Pehli Patshahi (Jind Pir), Sukkur	gurdwara-pehli-patshahi-jind-pir-sukkur	Nanakpanthi / Udasi Darbar	Gurdwara	Active	Guru Nanak	Sikh Guru			unknown	Traditionally linked to Guru Nanak's third udasi			1515	Guru Nanak's passage through Sindh	Gurpurabs; daily prakash of the Guru Granth Sahib	CAT_CHANGED;DATE_SPLIT
Gurdwara Rori Sahib	gurdwara-rori-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak; Bhai Mardana	Sikh Guru		1820	century	Built under Maharaja Ranjit Singh			1521	Guru Nanak's rest at Eminabad	Guru Nanak Gurpurab; jatha pilgrimage	DATE_SPLIT;EVENTS_FILLED
Gurdwara Sach Khand Sahib	gurdwara-sach-khand-sahib	Sikh Gurdwara	Gurdwara	Active	Guru Nanak	Sikh Guru		2015	circa	Recent build replacing an unlocated pre-Partition gurdwara					Daily prakash; continuous langar	EVENTS_FILLED
Gurdwara Sacha Sauda	gurdwara-sacha-sauda	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1830	century	Sikh Empire era; renovated 1993-94			1487	"The sacha sauda (""true bargain"")"	Guru Nanak anniversaries; organised jatha pilgrimage	DATE_SPLIT;EVENTS_FILLED
Gurdwara Sahib Saidpur (Guru Nanak Dev Ji)	gurdwara-sahib-saidpur-guru-nanak-dev-ji	Sikh Gurdwara	Gurdwara	Heritage	Guru Nanak	Sikh Guru		1910	century	Early 20th c.; closed mid-2000s					Preserved as a heritage site; no regular events	
Gurdwara Shaheed Bhai Taru Singh	gurdwara-shaheed-bhai-taru-singh	Sikh Gurdwara	Gurdwara	Active	Bhai Taru Singh	Historical person			unknown	Site of the 1745 martyrdom	1720	1745	1745	Martyrdom of Bhai Taru Singh	Martyrdom commemoration (1 July)	DATE_SPLIT;EVENTS_FILLED
Gurdwara Shaheed Ganj Singh Singhnian	gurdwara-shaheed-ganj-singh-singhnian	Sikh Gurdwara	Gurdwara	Active	Sikh women and children martyrs	Collective		1765	century	Raised after the mid-18th c. persecutions			1750	Martyrdoms under Mir Mannu	Martyrdom commemoration; pilgrim visits	DATE_SPLIT;EVENTS_FILLED
Gurdwara Singh Sabha	gurdwara-singh-sabha	Sikh Gurdwara	Gurdwara	Active	Sikh community (Singh Sabha)	Collective		1825	century	Said to be c. 200 years old; restored to the sangat 2020					Daily worship; Sikh anniversaries	EVENTS_FILLED
Gurdwara Sri Kiara Sahib	gurdwara-sri-kiara-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1935	circa	Rebuilt by Sant Gurmukh Singh before 1947					Guru Nanak Gurpurab	EVENTS_FILLED
Gurdwara Sri Tilganji Sahib	gurdwara-sri-tilganji-sahib	Sikh Gurdwara	Gurdwara	Active	Guru Nanak	Sikh Guru		1940	circa	Rebuilt after the 1935 Quetta earthquake			1515	Guru Nanak's distribution of til as parshad	Daily worship; Sikh anniversaries	EVENTS_FIXED;NOTE_STRIPPED
Gurdwara Tambo Sahib	gurdwara-tambo-sahib	Sikh Gurdwara	Gurdwara	Occasional	Guru Nanak	Sikh Guru		1855	century	Mid-19th c.					Guru Nanak Gurpurab	EVENTS_FILLED
Guru Gurpat Mandir (DB-80 Sirey Ghat)	guru-gurpat-mandir-db-80-sirey-ghat	Nanakpanthi / Udasi Darbar	Temple	Active	Baba Gurpat Sahib	Sant		1931	exact	Vikram Samvat 1988	1807	1877			Community worship; langar-adjacent hospitality	CAT_CHANGED;EVENTS_FILLED
Gurudwara Janam Asthan Nankana Sahib	gurudwara-janam-asthan-nankana-sahib	Sikh Gurdwara	Complex	Active	Guru Nanak	Sikh Guru		1819	circa	Rebuilt under Maharaja Ranjit Singh 1819-20	1469	1539	1469	Birth of Guru Nanak	Guru Nanak Gurpurab (principal Sikh pilgrimage in Pakistan)	DATE_SPLIT;EVENTS_FILLED
Jagannath Temple, Sialkot	jagannath-temple-sialkot	Hindu Temple	Temple	Active	Lord Jagannath	Deity		2007	exact	Renovated 2017					Community worship; no fixed festival documented	EVENTS_FILLED
Jain Mandir, Lahore	jain-mandir-lahore	Jain Temple	Temple	Active	Jain Tirthankaras	Deity		1940	circa	Restored and reopened June 2022					Reopened for active worship 2022; no fixed public festival calendar	CAT_CHANGED
Jhollay Lal Mandir	jhollay-lal-mandir	Hindu Temple	Temple	Active	Jhulelal (Uderolal)	Deity			unknown	Founding date undocumented					Cheti Chand	EVENTS_FILLED
Kalat Kali Temple	kalat-kali-temple	Hindu Temple	Temple	Active	Kali	Deity			unknown	Traditionally c. 1,500 years; unverified					Annual three-day Kali festival (January)	
Kali Bari Mandir	kali-bari-mandir	Hindu Temple	Temple	Active	Kali	Deity		1900	century	Colonial/pre-Partition era; renovated from 2017					Durga Puja; daily worship	EVENTS_FILLED
Kalka Cave Temple (Asthan of Kalka Devi)	kalka-cave-temple-asthan-of-kalka-devi	Hindu Temple	Cave shrine	Active	Kalka Devi (Kali)	Deity		1925	circa	Present complex 1920s; site far older					First Monday of each month; major goddess festivals	EVENTS_FILLED
Katas Raj Temples	katas-raj-temples	Hindu Temple	Complex	Occasional	Shiva (Mahadev)	Deity		700	century	7th c. onwards; restored 2005					Maha Shivratri; periodic cross-border pilgrimage	EVENTS_FILLED
Khatwari Darbar, Shikarpur	khatwari-darbar-shikarpur	Nanakpanthi / Udasi Darbar	Complex	Active	Bhai Gurdas Singh (Kanhiya Lal)	Sant		1737	circa	Second quarter of the 18th c.					Sikh and Nanakpanthi festivals	CAT_CHANGED
Krishna Mandir (Kabari Bazar)	krishna-mandir-kabari-bazar	Hindu Temple	Temple	Active	Krishna	Deity		1897	exact	Built by Kanji Mal and Ujagar Mal Ram Rachpal					Holi; Diwali; Janmashtami	EVENTS_FILLED
Krishna Mandir (Ravi Road)	krishna-mandir-ravi-road	Hindu Temple	Temple	Active	Krishna	Deity		1900	unknown	Colonial-era; rebuilt after 1992					Janmashtami; Holi; Diwali	EVENTS_FILLED
Lal Kurti Temple (Balmiki Mandir), Rawalpindi	lal-kurti-temple-balmiki-mandir-rawalpindi	Hindu Temple	Temple	Active	Valmiki (Bhagwan Valmik)	Deity		1905	exact						Diwali; Holi; Raksha Bandhan; daily worship	
Lal Shahbaz Qalandar	lal-shahbaz-qalandar	Muslim Shrine	Complex	Active	Lal Shahbaz Qalandar (Usman Marwandi)	Sufi saint	Qalandari	1356	circa	Golden dome and mirrored interior of later date	1177	1274			Annual urs (Sha'ban); Thursday-evening dhamal and qawwali; daily langar	EVENTS_FIXED;DATE_SPLIT
Langer Makhdoom	langer-makhdoom	Muslim Shrine	Dargah/Mazar	Active	Makhdoom Burhan-ud-din	Sufi saint			unknown	Traditional dating only		1245			Annual urs (16-18 March); Friday gatherings at the tomb	DATE_SPLIT;EVENTS_FILLED
Loh Temple (Lava Temple)	loh-temple-lava-temple	Hindu Temple	Temple	Heritage	Lava (Luv)	Deity		1805	circa	Early 19th c.; restored and reopened 27 January 2026					Recently restored and reopened to visitors; no congregational worship	
Mausoleum of Waris Shah	mausoleum-of-waris-shah	Muslim Shrine	Mausoleum/Memorial	Active	Waris Shah	Sufi saint	Chishti	1978	exact	Complex completed 1978	1722	1798			Annual urs; Heer recitation and qawwali	DATE_SPLIT;EVENTS_FILLED
Mazar of Bulleh Shah	mazar-of-bulleh-shah	Muslim Shrine	Dargah/Mazar	Active	Bulleh Shah (Abdullah Shah Qadri)	Sufi saint	Qadiri		unknown	Shrine developed after the saint's death	1680	1757			Annual urs; kafi singing through the night	DATE_SPLIT
Mithankot (Kot Mithan)	mithankot-kot-mithan	Muslim Shrine	Dargah/Mazar	Active	Khwaja Ghulam Farid	Sufi saint	Chishti		unknown	Shrine developed after the saint's death	1845	1901			Annual urs; kafi singing; qawwali; langar	DATE_SPLIT
Mohra Sharif (Khanqah)	mohra-sharif-khanqah	Muslim Shrine	Khanqah	Active	Khwaja Muhammad Qasim Sadiq	Sufi saint	Naqshbandi-Mujaddidi	1890	century	Late 19th c.	1846				Annual urs	DATE_SPLIT
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	nagarparkar-jain-temples-nagarparkar-cultural-landscape	Jain Temple	Complex	Ruin	Jain Tirthankaras	Deity		1300	range	12th-15th c. CE					None - abandoned; heritage visitation	CAT_CHANGED
Panj Tirath	panj-tirath	Hindu Temple	Complex	Heritage	King Pandu (Mahabharata)	Historical person		1834	exact	Rebuilt 1834; protected heritage site 2019					Historically Kartik bathing; not currently observed	EVENTS_FILLED
Parnami Mandir	parnami-mandir	Hindu Temple	Temple	Ruin	Dya Ram (samadhi)	Sant		1700	century	17th c. tradition; datings vary widely					Historically an annual mela in Chaitra; not currently observed	EVENTS_FILLED
Prahladpuri Temple	prahladpuri-temple	Hindu Temple	Temple	Destroyed	Narasimha	Deity		1810	exact	Raised 1810; destroyed December 1992					None - destroyed 1992	EVENTS_FILLED
Purana Bhalwal	purana-bhalwal	Muslim Shrine	Dargah/Mazar	Active	Hazrat Shah Sulaiman Nuri (Sakhi Badshah)	Sufi saint	Qadiri		unknown	Shrine developed after the saint's death	1510	1604			Annual urs; qawwali; langar	DATE_SPLIT
Rahman Baba Mausoleum (Rehman Baba Shrine)	rahman-baba-mausoleum-rehman-baba-shrine	Muslim Shrine	Mausoleum/Memorial	Active	Rahman Baba (Abdur Rahman Mohmand)	Sufi saint		1954	exact	Rebuilt after the 2009 bombing	1653	1711			Annual urs with mushaira (poetic assembly); rabab recitals	DATE_SPLIT;EVENTS_FILLED;NO_VERSE
Ram Mandir, Saidpur (Ram Kund Mandir)	ram-mandir-saidpur-ram-kund-mandir	Hindu Temple	Temple	Heritage	Rama	Deity		1550	century	Traditionally attributed to Raja Man Singh I					Heritage/tourist site; regular worship discontinued	
Ramapir Temple, Tando Allahyar	ramapir-temple-tando-allahyar	Hindu Temple	Temple	Active	Ramdev Pir (Ramapir)	Sant		1861	exact	Some accounts give 1859					Ramapir Mela (1 Bhadva, three days)	EVENTS_FILLED
Ranmal Sharif	ranmal-sharif	Muslim Shrine	Dargah/Mazar	Active	Syed Muhammad Noushah Ganj Bakhsh	Sufi saint	Naushahia Qadiri		unknown	Mother-shrine of the Naushahia order	1552	1654			Annual urs; qawwali and naat; langar	DATE_SPLIT
Sadh Belo (Sadh Belo Island Temple)	sadh-belo-sadh-belo-island-temple	Nanakpanthi / Udasi Darbar	Complex	Active	Baba Bankhandi Maharaj	Sant		1899	exact	Site settled 1823; main temple 1899					Annual festival (boat pilgrimage to the island)	CAT_CHANGED;DATE_SPLIT;EVENTS_FILLED
Sain Vali Vilayat Rai Darbar, Kambar	sain-vali-vilayat-rai-darbar-kambar	Nanakpanthi / Udasi Darbar	Temple	Active	Sain Vali Vilayat Rai	Sant		1875	century	Mid-late 19th c.	1825				Commemoration of Sain Vali Vilayat Rai; Nanakpanthi worship	CAT_CHANGED;DATE_SPLIT
Sakhi Sarwar	sakhi-sarwar	Muslim Shrine	Complex	Active	Sultan Sakhi Sarwar (Lakhdata)	Sufi saint		1200	century	12th-13th c.					Annual urs and pilgrimage; seasonal banner processions	
Samadhi of Maharaja Ranjit Singh	samadhi-of-maharaja-ranjit-singh	Secular / Memorial	Mausoleum/Memorial	Active	Maharaja Ranjit Singh	Historical person		1848	exact	Begun 1839; completed 1848	1780	1839			Death anniversary commemoration (27 June); Vaisakhi pilgrimage season	CAT_CHANGED;DATE_SPLIT
Sant Baba Asudaram Darbar (Panno Aqil)	sant-baba-asudaram-darbar-panno-aqil	Nanakpanthi / Udasi Darbar	Temple	Active	Sant Baba Asudaram (Sakhi Baba)	Sant		1940	exact	Darbar Sahib established 1940	1895	1960			Annual death anniversary (Anant Chaturdashi); continuous sadavrat	CAT_CHANGED;DATE_SPLIT
Sant Baba Bhagat Ram Darbar Mandir	sant-baba-bhagat-ram-darbar-mandir	Nanakpanthi / Udasi Darbar	Temple	Active	Sant Baba Bhagat Ram	Sant			unknown	Undocumented					Not documented	CAT_CHANGED
Sant Bhagat Kanwar Ram Temple (Chak)	sant-bhagat-kanwar-ram-temple-chak	Nanakpanthi / Udasi Darbar	Temple	Active	Bhagat Kanwar Ram	Sant		2006	exact	Raised after 1939; rebuilt 2006	1885	1939			Annual commemoration (2 November)	CAT_CHANGED;DATE_SPLIT
Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)	sant-satram-dham-raharki-sacho-satram-devri-sahib	Nanakpanthi / Udasi Darbar	Complex	Active	Satguru Swami Sai Satramdas Sahib	Sant		1910	century	Late 19th-early 20th c.	1866	1910			Annual birth-anniversary celebrations (October)	CAT_CHANGED;DATE_SPLIT
Sevapanthi Darbar (Bhai Gurdas), Gandava	sevapanthi-darbar-bhai-gurdas-gandava	Nanakpanthi / Udasi Darbar	Temple	Heritage	Bhai Gurdas (Sevapanthi)	Sant		1800	range	18th-19th c.; exact date uncertain					No regular events documented	CAT_CHANGED;COORD_DUPLICATE
Shah Noorani Shrine (Syed Bilawal Shah Noorani)	shah-noorani-shrine-syed-bilawal-shah-noorani	Muslim Shrine	Dargah/Mazar	Active	Syed Bilawal Shah Noorani	Sufi saint		1450	century	15th c.; saint active c. 1449					Annual urs; evening dhamal; qawwali and langar	EVENTS_FILLED
Shah Yousuf	shah-yousuf	Muslim Shrine	Dargah/Mazar	Active	Hazrat Shah Yousuf	Sufi saint			unknown	15th c. date provisional; uncorroborated					Annual urs	
Shahwala Teja Singh Mandir	shahwala-teja-singh-mandir	Hindu Temple	Temple	Active	Shiva (Mahadev)	Deity			unknown	Heritage accounts claim 900-1,000 years; unverified. Reopened 2019					Maha Shivratri	EVENTS_FILLED
Shamsabad	shamsabad	Muslim Shrine	Dargah/Mazar	Active	Shams Ali Qalandar	Sufi saint	Qadiri		unknown	Shrine raised after the saint's death	1873	1966			Two annual urs observances (15 March and 6 September)	DATE_SPLIT;EVENTS_FILLED
Sharada Peeth	sharada-peeth	Hindu Temple	Complex	Ruin	Sharada (Saraswati)	Deity		742	circa	Likely commissioned c. 724-760 CE					None - ruin; access restricted near the Line of Control	EVENTS_FILLED
Shergarh	shergarh	Muslim Shrine	Dargah/Mazar	Active	Daud Bandagi Kirmani	Sufi saint	Qadiri		unknown	Shrine developed after the saint's death	1513	1575			Annual urs; qawwali; langar	DATE_SPLIT
Shiv Mandir Chiti Ghati	shiv-mandir-chiti-ghati	Hindu Temple	Temple	Active	Shiva (Mahadev)	Deity		1835	circa	Present structure 1830s; lingam far older. Reopened after c. 60 years					Maha Shivratri (late winter)	EVENTS_FILLED
